"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 11, 48
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 4, 78
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\guards\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe.page.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe.page.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-gruppe\indicator-gruppe.page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1.page.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single1\indicator-single1.page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2.page.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2.page.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\indicator\indicator-single2\indicator-single2.page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-main\map-main.page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 35
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride.page.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-ride\map-ride.page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-start\map-start-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-start\map-start.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\pages\map\map-start\map-start.page.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 2, 4, 77
